_id,ltable_id,rtable_id,ltable_name,ltable_release_year,ltable_director,ltable_actors,ltable_runtime,rtable_name,rtable_release_year,rtable_director,rtable_actors,rtable_runtime
29035,a257,b1292,harry potter and the half blood prince,2009,David Yates,Daniel Radcliffe Emma Watson Rupert Grint Michael Gambon,153,harry potter and the half blood prince,2009,David Yates,Daniel Radcliffe Emma Watson Rupert Grint,153
29039,a275,b1292,the girl with the dragon tattoo,2011,David Fincher,Daniel Craig Rooney Mara Christopher Plummer Stellan Skarsgård,158,harry potter and the half blood prince,2009,David Yates,Daniel Radcliffe Emma Watson Rupert Grint,153
29108,a315,b1293,zootopia,2016,Byron Howard Rich Moore Jared Bush,Ginnifer Goodwin Jason Bateman Idris Elba Jenny Slate,108,zootopia,2016,Byron Howard Jared Bush Rich Moore,,108
29172,a2724,b1296,best in show,2000,Christopher Guest,Fred Willard Eugene Levy Catherine O'Hara Jennifer Coolidge,90,best in show,2000,Christopher Guest,Catherine O'Hara Eugene Levy,90
29381,a2857,b1300,chariots of fire,1981,Hugh Hudson,Ben Cross Ian Charleson Nicholas Farrell Nigel Havers,125,chariots of fire,1982,Hugh Hudson,Ben Cross Cheryl Campbell Daniel Gerroll Ian Charleson Ian Holm John Gielgud Lindsay Anderson Nicholas Farrell Nigel Davenport Nigel Havers,125
29414,a1186,b1304,dr  no,1962,Terence Young,Sean Connery Ursula Andress Bernard Lee Joseph Wiseman,110,dr  no,1963,Terence Young,Bernard Lee Sean Connery Ursula Andress,110
29416,a1512,b1304,from russia with love,1963,Terence Young,Sean Connery Robert Shaw Lotte Lenya Daniela Bianchi,115,dr  no,1963,Terence Young,Bernard Lee Sean Connery Ursula Andress,110
29597,a532,b1312,insomnia,2002,Christopher Nolan,Al Pacino Robin Williams Hilary Swank Martin Donovan,118,insomnia,2002,Christopher Nolan,Al Pacino Hilary Swank Robin Williams,118
29863,a1240,b1315,begin again,2013,John Carney,Keira Knightley Mark Ruffalo Adam Levine Hailee Steinfeld,104,tracks,2014,John Curran,Adam Driver Mia Wasikowska,112
30025,a290,b1319,zodiac,2007,David Fincher,Jake Gyllenhaal Robert Downey Jr. Mark Ruffalo Anthony Edwards,157,zodiac,2007,David Fincher,Jake Gyllenhaal Mark Ruffalo Robert Downey Jr.,157
30153,a1098,b1334,dazed and confused,1993,Richard Linklater,Jason London Wiley Wiggins Matthew McConaughey Rory Cochrane,102,dazed and confused,1993,Richard Linklater,Jason London Matthew McConaughey Rory Cochrane Wiley Wiggins,102
30209,a2001,b1337,logan lucky,2017,Steven Soderbergh,Channing Tatum Adam Driver Daniel Craig Farrah Mackenzie,118,logan lucky,2017,Steven Soderbergh,Adam Driver Boden Johnston Channing Tatum Daniel Craig David Denman Farrah Mackenzie Hilary Swank Jim O'Heir Katherine Waterston Katie Holmes Rebecca Koon Riley Keough Sebastian Stan Seth MacFarlane Sutton Johnston,118
30357,a411,b1350,the aviator,2004,Martin Scorsese,Leonardo DiCaprio Cate Blanchett Kate Beckinsale John C. Reilly,170,the aviator,2004,Martin Scorsese,Cate Blanchett Kate Beckinsale Leonardo DiCaprio,170
30364,a302,b1350,gangs of new york,2002,Martin Scorsese,Leonardo DiCaprio Cameron Diaz Daniel Day-Lewis Jim Broadbent,167,the aviator,2004,Martin Scorsese,Cate Blanchett Kate Beckinsale Leonardo DiCaprio,170
30393,a3049,b1352,my own private idaho,1991,Gus Van Sant,River Phoenix Keanu Reeves James Russo William Richert,104,my own private idaho,1991,Gus Van Sant,Keanu Reeves River Phoenix,104
30425,a325,b1353,the princess bride,1987,Rob Reiner,Cary Elwes Mandy Patinkin Robin Wright Chris Sarandon,98,the princess bride,1987,Rob Reiner,Cary Elwes Mandy Patinkin Robin Wright,98
30456,a2320,b1359,the siege,1998,Edward Zwick,Denzel Washington Bruce Willis Annette Bening Tony Shalhoub,116,courage under fire,1996,Edward Zwick,Denzel Washington Meg Ryan,117
30460,a2928,b1359,courage under fire,1996,Edward Zwick,Denzel Washington Meg Ryan Lou Diamond Phillips Michael Moriarty,116,courage under fire,1996,Edward Zwick,Denzel Washington Meg Ryan,117
30517,a1368,b1362,kramer vs  kramer,1979,Robert Benton,Dustin Hoffman Meryl Streep Jane Alexander Justin Henry,105,kramer vs  kramer,1979,Robert Benton,Dustin Hoffman Meryl Streep,105
30568,a765,b1363,finding dory,2016,Andrew Stanton Angus MacLane,Ellen DeGeneres Albert Brooks Ed O'Neill Kaitlin Olson,97,finding dory,2016,Andrew Stanton Angus MacLane,Albert Brooks Ellen DeGeneres,97
30571,a1644,b1364,rescue dawn,2006,Werner Herzog,Christian Bale Steve Zahn Jeremy Davies Zach Grenier,120,rescue dawn,2007,Werner Herzog,Christian Bale,126
30574,a2590,b1365,blue ruin,2013,Jeremy Saulnier,Macon Blair Devin Ratray Amy Hargreaves Kevin Kolack,90,blue ruin,2014,Jeremy Saulnier,Amy Hargreaves Devin Ratray Kevin Kolack Macon Blair,90
30646,a1019,b1368,happy feet,2006,George Miller Warren Coleman Judy Morris,Elijah Wood Brittany Murphy Hugh Jackman Robin Williams,108,happy feet,2006,George Miller Judy Morris Warren Coleman,Brittany Murphy Elijah Wood Hugh Jackman Robin Williams,108
30757,a849,b1371,run lola run,1998,Tom Tykwer,Franka Potente Moritz Bleibtreu Herbert Knaup Nina Petri,80,run lola run,1999,Tom Tykwer,Franka Potente Moritz Bleibtreu,80
30787,a563,b1372,apollo 13,1995,Ron Howard,Tom Hanks Bill Paxton Kevin Bacon Gary Sinise,140,apollo 13,1995,Ron Howard,Bill Paxton Ed Harris Gary Sinise Kevin Bacon Tom Hanks,140
30845,a611,b1373,before sunrise,1995,Richard Linklater,Ethan Hawke Julie Delpy Andrea Eckert Hanno Pöschl,101,before sunrise,1995,Richard Linklater,Ethan Hawke Julie Delpy,105
31149,a1369,b1380,the gift,2015,Joel Edgerton,Jason Bateman Rebecca Hall Joel Edgerton Allison Tolman,108,the gift,2015,Joel Edgerton,Jason Bateman Joel Edgerton Rebecca Hall,108
31230,a2126,b1385,paddington,2014,Paul King,Hugh Bonneville Sally Hawkins Julie Walters Jim Broadbent,95,paddington,2015,Paul King,Hugh Bonneville Jim Broadbent Julie Walters Nicole Kidman Sally Hawkins,95
31263,a2791,b1387,chungking express,1994,Kar-Wai Wong,Brigitte Lin Takeshi Kaneshiro Tony Chiu-Wai Leung Faye Wong,102,chungking express,1996,Kar Wai Wong,Brigitte Lin Takeshi Kaneshiro Tony Leung Chiu Wai,102
31319,a1115,b1389,the legend of tarzan,2016,David Yates,Alexander Skarsgård Rory J. Saper Christian Stevens Christoph Waltz,110,wetlands,2014,David Wnendt,Carla Juri Christoph Letkowski Marlen Kruse Meret Becker,105
31492,a2787,b1400,crimes and misdemeanors,1989,Woody Allen,Martin Landau Woody Allen Bill Bernstein Claire Bloom,104,crimes and misdemeanors,1989,Woody Allen,Martin Landau Woody Allen,104
31728,a1903,b1405,wargames,1983,John Badham,Matthew Broderick Ally Sheedy John Wood Dabney Coleman,114,wargames,1983,John Badham,Ally Sheedy Barry Corbin Dabney Coleman Dennis Lipscomb Irving Metzman Joe Dorsey John Wood Juanin Clay Kent Williams Matthew Broderick,114
31743,a2457,b1405,christine,1983,John Carpenter,Keith Gordon John Stockwell Alexandra Paul Robert Prosky,110,wargames,1983,John Badham,Ally Sheedy Barry Corbin Dabney Coleman Dennis Lipscomb Irving Metzman Joe Dorsey John Wood Juanin Clay Kent Williams Matthew Broderick,114
31981,a1552,b1408,the butler,2013,Lee Daniels,Forest Whitaker Oprah Winfrey John Cusack Jane Fonda,132,chi raq,2015,Spike Lee,Angela Bassett D.B. Sweeney David Patrick Kelly Jennifer Hudson John Cusack Nick Cannon Samuel L. Jackson Teyonah Parris Wesley Snipes,127
32027,a632,b1411,8 mile,2002,Curtis Hanson,Eminem Brittany Murphy Kim Basinger Mekhi Phifer,110,8 mile,2002,Curtis Hanson,Brittany Murphy Eminem Kim Basinger Mekhi Phifer,110
32031,a646,b1412,jerry maguire,1996,Cameron Crowe,Tom Cruise Cuba Gooding Jr. Renée Zellweger Kelly Preston,139,jerry maguire,1996,Cameron Crowe,Cuba Gooding Jr. Renée Zellweger Tom Cruise,139
32035,a652,b1412,true lies,1994,James Cameron,Arnold Schwarzenegger Jamie Lee Curtis Tom Arnold Bill Paxton,141,jerry maguire,1996,Cameron Crowe,Cuba Gooding Jr. Renée Zellweger Tom Cruise,139
32051,a1063,b1414,the ghost writer,2010,Roman Polanski,Ewan McGregor Pierce Brosnan Olivia Williams Jon Bernthal,128,the ghost writer,2010,Roman Polanski,Ewan McGregor Olivia Williams Pierce Brosnan,128
32067,a909,b1416,chef,2014,Jon Favreau,Jon Favreau Robert Downey Jr. Scarlett Johansson Dustin Hoffman,114,the jungle book,2016,Jon Favreau,Ben Kingsley Bill Murray Giancarlo Esposito Idris Elba Lupita Nyong'o Neel Sethi Scarlett Johansson,106
32085,a596,b1416,the jungle book,2016,Jon Favreau,Neel Sethi Bill Murray Ben Kingsley Idris Elba,106,the jungle book,2016,Jon Favreau,Ben Kingsley Bill Murray Giancarlo Esposito Idris Elba Lupita Nyong'o Neel Sethi Scarlett Johansson,106
32253,a556,b1429,a bug s life,1998,John Lasseter Andrew Stanton,Kevin Spacey Dave Foley Julia Louis-Dreyfus Hayden Panettiere,95,a bug s life,1998,Andrew Stanton John Lasseter,Dave Foley Kevin Spacey,95
32411,a39,b1430,the usual suspects,1995,Bryan Singer,Kevin Spacey Gabriel Byrne Chazz Palminteri Stephen Baldwin,106,the usual suspects,1995,Bryan Singer,Chazz Palminteri Gabriel Byrne Kevin Spacey,106
32470,a1588,b1433,a single man,2009,Tom Ford,Colin Firth Julianne Moore Matthew Goode Nicholas Hoult,99,a single man,2009,Tom Ford,Colin Firth Julianne Moore Matthew Goode,99
32865,a890,b1450,grindhouse,2007,Robert Rodriguez Eli Roth Quentin Tarantino Edgar Wright Rob Zombie,Kurt Russell Rose McGowan Danny Trejo Zoë Bell,191,grindhouse,2007,Edgar Wright Eli Roth Quentin Tarantino Rob Zombie Robert Rodriguez,Danny Trejo Rose McGowan,191
33013,a575,b1456,the graduate,1967,Mike Nichols,Dustin Hoffman Anne Bancroft Katharine Ross William Daniels,106,the graduate,1967,Mike Nichols,Anne Bancroft Dustin Hoffman,105
33038,a2155,b1457,i  tonya,2017,Craig Gillespie,Margot Robbie Sebastian Stan Allison Janney Julianne Nicholson,120,i  tonya,2017,Craig Gillespie,Allison Janney Bobby Cannavale Bojana Novakovic Caitlin Carver Catherine Dyer Evan George Vourazeris James Sterling Joey Thurmond Joshua Mikel Julianne Nicholson Maizie Smith Margot Robbie Mckenna Grace Paul Walter Hauser Robin Dyke Sebastian Stan,120
33234,a492,b1463,magnolia,1999,Paul Thomas Anderson,Tom Cruise Jason Robards Julianne Moore Philip Seymour Hoffman,188,magnolia,1999,Paul Thomas Anderson,Jason Robards Jeremy Blackman John C. Reilly Julianne Moore Philip Baker Hall Philip Seymour Hoffman Tom Cruise William H. Macy,188
33335,a2374,b1464,saturday night fever,1977,John Badham,John Travolta Karen Lynn Gorney Barry Miller Joseph Cali,118,saturday night fever,1977,John Badham,John Travolta,118
33385,a1520,b1464,animal house,1978,John Landis,John Belushi Karen Allen Tom Hulce Stephen Furst,109,saturday night fever,1977,John Badham,John Travolta,118
33468,a2730,b1467,calvary,2014,John Michael McDonagh,Brendan Gleeson Chris O'Dowd Kelly Reilly Aidan Gillen,102,calvary,2014,John Michael McDonagh,,100
33639,a626,b1473,jagten,2012,Thomas Vinterberg,Mads Mikkelsen Thomas Bo Larsen Annika Wedderkopp Lasse Fogelstrøm,115,the hunt,2013,Thomas Vinterberg,Alexandra Rapaport Anne Louise Hassing Annika Wedderkopp Lars Ranthe Lasse Fogelstr Mads Mikkelsen Ole Dupont Susse Wold Thomas Bo Larsen,115
33684,a1429,b1480,shanghai noon,2000,Tom Dey,Jackie Chan Owen Wilson Lucy Liu Brandon Merrill,110,shanghai noon,2000,Tom Dey,Jackie Chan Lucy Liu Owen Wilson,110
33724,a1755,b1481,philomena,2013,Stephen Frears,Judi Dench Steve Coogan Sophie Kennedy Clark Mare Winningham,98,philomena,2013,Stephen Frears,Judi Dench Steve Coogan,98
33777,a2270,b1484,the color of money,1986,Martin Scorsese,Paul Newman Tom Cruise Mary Elizabeth Mastrantonio Helen Shaver,119,the color of money,1986,Martin Scorsese,Paul Newman Tom Cruise,119
33909,a2116,b1489,the edge of seventeen,2016,Kelly Fremon Craig,Hailee Steinfeld Haley Lu Richardson Blake Jenner Kyra Sedgwick,104,the edge of seventeen,2016,Kelly Fremon Craig,Blake Jenner Hailee Steinfeld Haley Lu Richardson Kyra Sedgwick Woody Harrelson,104
33923,a898,b1491,the conjuring 2,2016,James Wan,Vera Farmiga Patrick Wilson Madison Wolfe Frances O'Connor,134,logan,2017,James Mangold,Boyd Holbrook Dafne Keen Elizabeth Rodriguez Hugh Jackman Patrick Stewart Richard E. Grant Stephen Merchant,137
33953,a181,b1491,logan,2017,James Mangold,Hugh Jackman Patrick Stewart Dafne Keen Boyd Holbrook,137,logan,2017,James Mangold,Boyd Holbrook Dafne Keen Elizabeth Rodriguez Hugh Jackman Patrick Stewart Richard E. Grant Stephen Merchant,137
34270,a1304,b1502,a christmas story,1983,Bob Clark,Peter Billingsley Melinda Dillon Darren McGavin Scott Schwartz,94,a christmas story,1983,Bob Clark,Peter Billingsley,94
34341,a2585,b1508,breaking the waves,1996,Lars von Trier,Emily Watson Stellan Skarsgård Katrin Cartlidge Jean-Marc Barr,159,breaking the waves,1996,Lars von Trier,Emily Watson,159
34373,a2224,b1509,the disaster artist,2017,James Franco,James Franco Dave Franco Ari Graynor Seth Rogen,104,the disaster artist,2017,James Franco,Adam Scott Alison Brie Ari Graynor Brett Gelman Bryan Cranston Dave Franco Dylan Minnette Eliza Coupe J.J. Abrams Jacki Weaver James Franco Jason Mantzoukas Josh Hutcherson June Diane Raphael Kate Upton Kristen Bell Lizzy Caplan Megan Mullally Melanie Griffith Paul Scheer Seth Rogen Sugar Lyn Beard Tommy Wiseau Zac Efron Zoey Deutch,104
34612,a1898,b1521,grosse pointe blank,1997,George Armitage,John Cusack Minnie Driver Dan Aykroyd Joan Cusack,107,grosse pointe blank,1997,George Armitage,Dan Aykroyd Joan Cusack John Cusack Minnie Driver,107
34749,a1076,b1527,adventureland,2009,Greg Mottola,Jesse Eisenberg Kristen Stewart Ryan Reynolds Kelsey Ledgin,107,adventureland,2009,Greg Mottola,Jesse Eisenberg Kristen Stewart,107
34996,a395,b1535,inside man,2006,Spike Lee,Denzel Washington Clive Owen Jodie Foster Christopher Plummer,129,inside man,2006,Spike Lee,Clive Owen Denzel Washington Jodie Foster,129
35105,a996,b1542,spaceballs,1987,Mel Brooks,Mel Brooks John Candy Rick Moranis Bill Pullman,96,lost in america,1985,Albert Brooks,Albert Brooks Julie Hagerty,91
35207,a524,b1549,donnie brasco,1997,Mike Newell,Al Pacino Johnny Depp Michael Madsen Bruno Kirby,127,donnie brasco,1997,Mike Newell,Al Pacino Johnny Depp,127
35276,a881,b1550,when harry met sally   ,1989,Rob Reiner,Billy Crystal Meg Ryan Carrie Fisher Bruno Kirby,96,when harry met sally   ,1989,Rob Reiner,Billy Crystal Meg Ryan,96
35479,a1559,b1554,escape from alcatraz,1979,Don Siegel,Clint Eastwood Patrick McGoohan Roberts Blossom Jack Thibeau,112,escape from alcatraz,1979,Don Siegel,Bruce M. Fischer Clint Eastwood Frank Ronzio Fred Stuthman Fred Ward Jack Thibeau Larry Hankin Patrick McGoohan Paul Benjamin Roberts Blossom,112
35600,a1438,b1557,boyz n the hood,1991,John Singleton,Cuba Gooding Jr. Laurence Fishburne Hudhail Al-Amir Lloyd Avery II,112,boyz n the hood,1991,John Singleton,,112
35705,a495,b1559,3 10 to yuma,2007,James Mangold,Russell Crowe Christian Bale Ben Foster Logan Lerman,122,3 10 to yuma,2007,James Mangold,Ben Foster Christian Bale Russell Crowe,122
35715,a2069,b1560,jane eyre,2011,Cary Joji Fukunaga,Mia Wasikowska Michael Fassbender Jamie Bell Su Elliot,120,jane eyre,2011,Cary Fukunaga,Jamie Bell Mia Wasikowska Michael Fassbender,115
35788,a2395,b1562,a monster calls,2016,J.A. Bayona,Lewis MacDougall Sigourney Weaver Felicity Jones Toby Kebbell,108,a monster calls,2016,Juan Antonio Bayona,Felicity Jones Lewis MacDougall Liam Neeson Sigourney Weaver Toby Kebbell,108
35854,a1293,b1568,syriana,2005,Stephen Gaghan,George Clooney Matt Damon Amanda Peet Kayvan Novak,128,syriana,2005,Stephen Gaghan,Amanda Peet George Clooney Matt Damon,126
35893,a165,b1571,heat,1995,Michael Mann,Al Pacino Robert De Niro Val Kilmer Jon Voight,170,heat,1995,Michael Mann,Al Pacino Jon Voight Robert De Niro Val Kilmer,170
35940,a263,b1572,the wolverine,2013,James Mangold,Hugh Jackman Will Yun Lee Tao Okamoto Rila Fukushima,126,guardians of the galaxy,2014,James Gunn,Bradley Cooper Chris Pratt Dave Bautista Lee Pace Vin Diesel Zoe Saldana,121
35947,a46,b1572,guardians of the galaxy,2014,James Gunn,Chris Pratt Vin Diesel Bradley Cooper Zoe Saldana,121,guardians of the galaxy,2014,James Gunn,Bradley Cooper Chris Pratt Dave Bautista Lee Pace Vin Diesel Zoe Saldana,121
36001,a1348,b1574,roman holiday,1953,William Wyler,Gregory Peck Audrey Hepburn Eddie Albert Hartley Power,118,roman holiday,1953,William Wyler,Audrey Hepburn Eddie Albert Gregory Peck,118
36127,a990,b1576,blue velvet,1986,David Lynch,Isabella Rossellini Kyle MacLachlan Dennis Hopper Laura Dern,120,blue velvet,1986,David Lynch,Dennis Hopper Isabella Rossellini Kyle MacLachlan,120
36139,a2341,b1578,dreamgirls,2006,Bill Condon,Beyoncé Jamie Foxx Eddie Murphy Danny Glover,130,dreamgirls,2006,Bill Condon,Beyoncé Knowles Eddie Murphy Jamie Foxx,130
36151,a1030,b1579,the road warrior,1981,George Miller,Mel Gibson Bruce Spence Michael Preston Max Phipps,94,the road warrior,1982,George Miller,Mel Gibson,94
36211,a2628,b1581,the fog,1980,John Carpenter,Adrienne Barbeau Jamie Lee Curtis Janet Leigh John Houseman,89,escape from new york,1981,John Carpenter,Kurt Russell Lee Van Cleef,99
36305,a385,b1581,the thing,1982,John Carpenter,Kurt Russell Wilford Brimley Keith David Richard Masur,109,escape from new york,1981,John Carpenter,Kurt Russell Lee Van Cleef,99
36317,a1448,b1581,escape from new york,1981,John Carpenter,Kurt Russell Lee Van Cleef Ernest Borgnine Donald Pleasence,99,escape from new york,1981,John Carpenter,Kurt Russell Lee Van Cleef,99
36373,a2186,b1582,collateral beauty,2016,David Frankel,Will Smith Edward Norton Kate Winslet Michael Peña,97,the death and life of marsha p  johnson,2017,David France,Eddie DeGrand Frances Baugh Jacques Garon Jimmy Camicia Marsha P. Johnson Matt Foreman Michael Baden Rev. Pat Bumgardner Sylvia Rivera Victoria Cruz,105
36418,a1345,b1582,atomic blonde,2017,David Leitch,Charlize Theron James McAvoy John Goodman Eddie Marsan,115,the death and life of marsha p  johnson,2017,David France,Eddie DeGrand Frances Baugh Jacques Garon Jimmy Camicia Marsha P. Johnson Matt Foreman Michael Baden Rev. Pat Bumgardner Sylvia Rivera Victoria Cruz,105
36470,a420,b1583,flight,2012,Robert Zemeckis,Denzel Washington Nadine Velazquez Don Cheadle John Goodman,138,flight,2012,Robert Zemeckis,Bruce Greenwood Denzel Washington Nadine Velazquez,138
36989,a2943,b1600,menace ii society,1993,Albert Hughes Allen Hughes,Tyrin Turner Larenz Tate June Kyoto Lu Toshi Toda,97,menace ii society,1993,Albert Hughes Allen Hughes,Larenz Tate Tyrin Turner,97
37156,a2311,b1614,midnight special,2016,Jeff Nichols,Michael Shannon Joel Edgerton Kirsten Dunst Adam Driver,112,midnight special,2016,Jeff Nichols,,112
37388,a1959,b1623,the guest,2014,Adam Wingard,Dan Stevens Sheila Kelley Maika Monroe Joel David Moore,100,the guest,2014,Adam Wingard,Dan Stevens Joel Moore Leland Orser Maika Monroe Sheila Kelley,99
37406,a1475,b1624,margin call,2011,J.C. Chandor,Zachary Quinto Stanley Tucci Kevin Spacey Paul Bettany,107,margin call,2011,J.C. Chandor,,105
37417,a2166,b1625,disconnect,2012,Henry Alex Rubin,Jason Bateman Jonah Bobo Haley Ramm Hope Davis,115,listen up philip,2014,Alex Ross Perry,Elisabeth Moss Jason Schwartzman Jonathan Pryce Joséphine de La Baume Krysten Ritter,108
37432,a239,b1630,wonder woman,2017,Patty Jenkins,Gal Gadot Chris Pine Robin Wright Lucy Davis,141,wonder woman,2017,Patty Jenkins,Chris Pine Connie Nielsen Danny Huston David Thewlis Eugene Brave Rock Ewen Bremner Gal Gadot Lucy Davis Robin Wright Saïd Taghmaoui,141
37447,a219,b1634, 500  days of summer,2009,Marc Webb,Zooey Deschanel Joseph Gordon-Levitt Geoffrey Arend Chloë Grace Moretz,95, 500  days of summer,2009,Marc Webb,Joseph Gordon-Levitt Zooey Deschanel,95
37469,a123,b1637,the revenant,2015,Alejandro G. Iñárritu,Leonardo DiCaprio Tom Hardy Will Poulter Domhnall Gleeson,156,the revenant,2015,Alejandro González Iñárritu,Domhnall Gleeson Forrest Goodluck Leonardo DiCaprio Tom Hardy Will Poulter,156
37472,a200,b1638,shaun of the dead,2004,Edgar Wright,Simon Pegg Nick Frost Kate Ashfield Lucy Davis,99,shaun of the dead,2004,Edgar Wright,Kate Ashfield Nick Frost Simon Pegg,99
37493,a1175,b1641,the virgin suicides,1999,Sofia Coppola,Kirsten Dunst Josh Hartnett James Woods Kathleen Turner,97,the virgin suicides,2000,Sofia Coppola,Josh Hartnett Kirsten Dunst,97
37601,a1345,b1645,atomic blonde,2017,David Leitch,Charlize Theron James McAvoy John Goodman Eddie Marsan,115,stronger,2017,David Gordon Green,Acei Martin Bennett Deady Brina Carlos Sanz Clancy Brown Danny McCarthy Frankie Shaw J.P. Valenti Jake Gyllenhaal John Pollono Kate Fitzgerald Lenny Clarke Maggie Castle Michelle Romano Miranda Richardson Nate Richman Owen Burke Patty O'Neil Richard Lane Jr. Tatiana Maslany,119
37624,a2205,b1645,annabelle  creation,2017,David F. Sandberg,Anthony LaPaglia Samara Lee Miranda Otto Brad Greenquist,109,stronger,2017,David Gordon Green,Acei Martin Bennett Deady Brina Carlos Sanz Clancy Brown Danny McCarthy Frankie Shaw J.P. Valenti Jake Gyllenhaal John Pollono Kate Fitzgerald Lenny Clarke Maggie Castle Michelle Romano Miranda Richardson Nate Richman Owen Burke Patty O'Neil Richard Lane Jr. Tatiana Maslany,119
37652,a1455,b1648,wild,2014,Jean-Marc Vallée,Reese Witherspoon Laura Dern Gaby Hoffmann Michiel Huisman,115,wild,2014,Jean-Marc Vallée,Gaby Hoffmann Laura Dern Michiel Huisman Reese Witherspoon,115
37889,a2021,b1660,witness,1985,Peter Weir,Harrison Ford Kelly McGillis Lukas Haas Josef Sommer,112,witness,1985,Peter Weir,Harrison Ford Kelly McGillis Lukas Haas,112
37910,a507,b1661,how to train your dragon 2,2014,Dean DeBlois,Jay Baruchel Cate Blanchett Gerard Butler Craig Ferguson,102,how to train your dragon 2,2014,Dean DeBlois,America Ferrera Cate Blanchett Christopher Mintz-Plasse Craig Ferguson Gerard Butler Jay Baruchel Jonah Hill Kristen Wiig,102
37952,a120,b1667,full metal jacket,1987,Stanley Kubrick,Matthew Modine R. Lee Ermey Vincent D'Onofrio Adam Baldwin,116,full metal jacket,1987,Stanley Kubrick,Matthew Modine R. Lee Ermey Vincent D'Onofrio,116
37959,a1454,b1669,what we do in the shadows,2014,Jemaine Clement Taika Waititi,Jemaine Clement Taika Waititi Cori Gonzalez-Macuer Jonny Brugh,86,what we do in the shadows,2015,Jemaine Clement Taika Waititi,Cori Gonzalez-Macuer Jemaine Clement Jonathan Brugh Taika Waititi,86
37964,a559,b1670,10 cloverfield lane,2016,Dan Trachtenberg,John Goodman Mary Elizabeth Winstead John Gallagher Jr. Douglas M. Griffin,103,10 cloverfield lane,2016,Dan Trachtenberg,John Gallagher Jr. John Goodman Mary Elizabeth Winstead,104
37967,a1916,b1670,swiss army man,2016,Dan Kwan Daniel Scheinert,Paul Dano Daniel Radcliffe Mary Elizabeth Winstead Antonia Ribero,97,10 cloverfield lane,2016,Dan Trachtenberg,John Gallagher Jr. John Goodman Mary Elizabeth Winstead,104
38006,a1683,b1672,a dangerous method,2011,David Cronenberg,Michael Fassbender Keira Knightley Viggo Mortensen Vincent Cassel,99,a dangerous method,2011,David Cronenberg,,99
38206,a2940,b1674,rabbit hole,2010,John Cameron Mitchell,Nicole Kidman Aaron Eckhart Dianne Wiest Miles Teller,91,rabbit hole,2010,John Cameron Mitchell,Aaron Eckhart Dianne Wiest Nicole Kidman,91
38256,a1183,b1675,the last of the mohicans,1992,Michael Mann,Daniel Day-Lewis Madeleine Stowe Russell Means Eric Schweig,112,the last of the mohicans,1992,Michael Mann,Daniel Day-Lewis Madeleine Stowe,112
38327,a304,b1676,american gangster,2007,Ridley Scott,Denzel Washington Russell Crowe Chiwetel Ejiofor Josh Brolin,157,american gangster,2007,Ridley Scott,Denzel Washington Russell Crowe,157
38376,a560,b1677,the royal tenenbaums,2001,Wes Anderson,Gene Hackman Gwyneth Paltrow Anjelica Huston Ben Stiller,110,the royal tenenbaums,2001,Wes Anderson,Gene Hackman Gwyneth Paltrow,110
38414,a1011,b1678,mud,2012,Jeff Nichols,Matthew McConaughey Tye Sheridan Jacob Lofland Sam Shepard,130,mud,2013,Jeff Nichols,Jacob Lofland Matthew McConaughey Michael Shannon Reese Witherspoon Sam Shepard Sarah Paulson Tye Sheridan,130
38415,a1908,b1678,take shelter,2011,Jeff Nichols,Michael Shannon Jessica Chastain Shea Whigham Tova Stewart,120,mud,2013,Jeff Nichols,Jacob Lofland Matthew McConaughey Michael Shannon Reese Witherspoon Sam Shepard Sarah Paulson Tye Sheridan,130
38429,a281,b1679,nightcrawler,2014,Dan Gilroy,Jake Gyllenhaal Rene Russo Bill Paxton Riz Ahmed,118,nightcrawler,2014,Dan Gilroy,Bill Paxton Jake Gyllenhaal Rene Russo,117
38505,a1893,b1681,the last emperor,1987,Bernardo Bertolucci,John Lone Joan Chen Peter O'Toole Ruocheng Ying,163,the last emperor,1987,Bernardo Bertolucci,Joan Chen John Lone Peter O'Toole,163
38520,a583,b1682,the hunger games  mockingjay   part 2,2015,Francis Lawrence,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson,137,the hunger games  catching fire,2013,Francis Lawrence,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Philip Seymour Hoffman,146
38528,a126,b1682,the hunger games  catching fire,2013,Francis Lawrence,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Philip Seymour Hoffman,146,the hunger games  catching fire,2013,Francis Lawrence,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Philip Seymour Hoffman,146
38549,a1975,b1683,submarine,2010,Richard Ayoade,Craig Roberts Sally Hawkins Paddy Considine Noah Taylor,97,submarine,2011,Richard Ayoade,,97
38585,a183,b1685,superbad,2007,Greg Mottola,Michael Cera Jonah Hill Christopher Mintz-Plasse Bill Hader,113,superbad,2007,Greg Mottola,Christopher Mintz-Plasse Jonah Hill Michael Cera,113
38633,a1616,b1694,the manchurian candidate,2004,Jonathan Demme,Denzel Washington Liev Schreiber Meryl Streep Kimberly Elise,129,the manchurian candidate,2004,Jonathan Demme,Denzel Washington Liev Schreiber,129
38648,a980,b1696,the talented mr  ripley,1999,Anthony Minghella,Matt Damon Gwyneth Paltrow Jude Law Cate Blanchett,139,the talented mr  ripley,1999,Anthony Minghella,Gwyneth Paltrow Jude Law Matt Damon,139
